AgeDescription,Age,AgeLower,AgeUpper,CO2,CO2Low1s,CO2High1s,Source,Site,Latitude,Longitude,Notes,doi
U Ordovician,450,458.2,443.1,679.8094464,465.9219346,1019.005966,Guthrie 1996,Elgin,,,,
U Ordovician,450,458.2,443.1,655.4834349,451.6070773,972.6641441,Guthrie 1996,Elgin,,,,
U Ordovician,450,458.2,443.1,657.3059621,451.3779462,973.1829876,Guthrie 1996,Elgin,,,,
U Ordovician,450,458.2,443.1,718.0757096,486.0939272,1095.371179,Guthrie 1996,Elgin,,,,
U Ordovician,450,458.2,443.1,568.7249207,397.3184103,818.4067917,Guthrie 1996,Elgin,,,,
U Ordovician,450,458.2,443.1,715.7382878,485.3471161,1092.675405,Guthrie 1996,Elgin,,,,
U Ordovician,450,458.2,443.1,691.0183916,470.9361058,1041.988066,Guthrie 1996,Elgin,,,,
U Ordovician,450,458.2,443.1,561.7154345,390.5109681,819.0616457,Guthrie 1996,Maquoketa,,,,
U Ordovician,450,458.2,443.1,599.6189063,410.9527343,889.44255,Guthrie 1996,Maquoketa,,,,
U Ordovician,450,458.2,443.1,561.6910839,390.5079853,823.2951845,Guthrie 1996,Maquoketa,,,,
U Ordovician,450,458.2,443.1,536.7136748,374.7532441,776.7160987,Guthrie 1996,Maquoketa,,,,
"Dunleith, Ordovician",452,455,450,370.8326097,267.9939387,506.0428044,Pancost et al. 2013,Millbrook Farms,,,,
"Platteville, Ordovician",455,459,446,372.3418498,269.69966,507.2836438,Pancost et al. 2013,Millbrook Farms,,,,
"Platteville, Ordovician",455,459,446,391.1238833,281.3021382,538.4169583,Pancost et al. 2013,Millbrook Farms,,,,
"Platteville, Ordovician",455,459,446,370.2530443,267.6311026,507.5906283,Pancost et al. 2013,Millbrook Farms,,,,
"Platteville, Ordovician",455,459,446,326.8086085,239.0977935,441.2286712,Pancost et al. 2013,Millbrook Farms,,,,
"Platteville, Ordovician",455,459,446,357.0592833,258.5507249,484.3733081,Pancost et al. 2013,Millbrook Farms,,,,
"Platteville, Ordovician",455,459,446,316.8337099,231.902531,426.7245029,Pancost et al. 2013,Millbrook Farms,,,,
"Platteville, Ordovician",455,459,446,359.4605287,260.4017656,488.97425,Pancost et al. 2013,Millbrook Farms,,,,
"Platteville, Ordovician",455,459,446,364.1688878,263.5987452,493.738169,Pancost et al. 2013,Millbrook Farms,,,,
