AgeDescription,Age,AgeLower,AgeUpper,CO2,CO2Low1s,CO2High1s,Source,Site,Latitude,Longitude,Notes,doi
"Late Cenomanian, Cretaceous",94,97,93.9,892.7416102,644.6868679,1226.754363,van Bentum et al. 2012a,Newfoundland,,,,
"Late Cenomanian, Cretaceous",94,97,93.9,1019.914758,725.1880638,1433.33571,van Bentum et al. 2012a,Newfoundland,,,,
"Late Cenomanian, Cretaceous",94,97,93.9,863.9616569,623.7517069,1185.010265,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",94,97,93.9,1025.111853,726.9355753,1451.752366,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",94,97,93.9,1076.573146,760.9303534,1545.831832,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",94,97,93.9,1083.836953,768.2851032,1543.024879,Sinninghe Damste et al. 2008b,DSDP367,12.4868,-20.0472,,https://doi.org/10.1016/j.orggeochem.2008.01.012
"Late Cenomanian, Cretaceous",94,97,93.9,1199.755522,837.5973385,1754.57954,Sinninghe Damste et al. 2008b,DSDP367,12.4868,-20.0472,,https://doi.org/10.1016/j.orggeochem.2008.01.012
"Cenomanian, Cretaceous",94,100,93.9,691.0390606,500.6947992,942.9355906,Tsikos et al. 2004,Tarfaya,,,,
"Cenomanian, Cretaceous",94,100,93.9,609.2990272,446.0132146,818.8781684,Tsikos et al. 2004,Tarfaya,,,,
"Cenomanian, Cretaceous",94,100,93.9,629.1140251,458.8622561,849.9553427,Tsikos et al. 2004,Tarfaya,,,,
"Cen/Tur, Cretaceous",94,96,92,631.7406442,466.2802807,838.1216278,Witkowski2018,Samerica,,,,
"Cen/Tur, Cretaceous",94,96,92,800.2552488,581.6076291,1087.465388,Witkowski2018,Samerica,,,,
"Cenomanian, Cretaceous",95,96,94,786.2104397,571.3536026,1074.329806,Bice et al. 2006,ODP1260,9.26551,-54.5442,,
"Cenomanian, Cretaceous",95,97,93.5,1160.188839,814.6625195,1676.39827,Kuypers et al. 2004,ODP603,35.4952,-70.0285,,
"Cenomanian, Cretaceous",95,97,93.5,1690.647364,1098.459588,2840.621639,Kuypers et al. 2002,DSDP144,9.4538,-54.342,,
"Cenomanian, Cretaceous",95,97,93.5,1489.983994,997.6202935,2376.439133,Kuypers et al. 2002,DSDP144,9.4538,-54.342,,
"Late Cenomanian, Cretaceous",95,97,93.9,1061.851461,750.2534175,1515.07559,van Bentum et al. 2012a,ODP1276,45.40533,-44.78583,,
"Late Cenomanian, Cretaceous",95,97,93.9,901.2205864,650.303297,1241.546869,van Bentum et al. 2012a,ODP1276,45.40533,-44.78583,,
"Late Cenomanian, Cretaceous",95,97,93.9,883.3144689,636.8485928,1217.868471,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",95,97,93.9,896.5865939,646.6494811,1239.817096,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",95,97,93.9,828.7153142,602.8005703,1130.693446,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",95,97,93.9,1022.249498,730.3443579,1435.325152,Sinninghe Damste et al. 2008b,DSDP367,12.4868,-20.0472,,https://doi.org/10.1016/j.orggeochem.2008.01.012
"Late Cenomanian, Cretaceous",95,97,93.9,1070.291266,758.1923233,1512.234166,Sinninghe Damste et al. 2008b,DSDP367,12.4868,-20.0472,,https://doi.org/10.1016/j.orggeochem.2008.01.012
"Cenomanian, Cretaceous",95,97,93.9,861.6466953,617.1711529,1199.31961,Forster et al. 2008,DSDP530,-19.1877,9.3858,,
"Cenomanian, Cretaceous",95,97,93.9,987.7201633,699.199603,1410.52194,Forster et al. 2008,DSDP530,-19.1877,9.3858,,
"Late Cenomanian, Cretaceous",95.5,97,93.9,1242.268577,858.7135445,1835.895813,van Bentum et al. 2012a,ODP1276,45.40533,-44.78583,,
"Late Cenomanian, Cretaceous",95.9,97,93.9,1111.859008,783.7002408,1604.849451,van Bentum et al. 2012a,ODP1276,45.40533,-44.78583,,
"Cenomanian, Cretaceous",96,97,95,714.8224819,525.806276,952.3839624,Bice et al. 2006,ODP1258,9.43333,-54.73303,,
"Cenomanian, Cretaceous",96,97,95,682.5652748,500.320901,902.9431805,Bice et al. 2006,ODP1258,9.43333,-54.73303,,
"Cenomanian, Cretaceous",96,97,95,834.2213764,604.3501449,1137.435631,Bice et al. 2006,ODP1260,9.26551,-54.5442,,
"Cenomanian, Cretaceous",96,97,93.5,1434.223419,972.3247764,2212.958885,Kuypers et al. 2004,ODP603,35.4952,-70.0285,,
"Late Cenomanian, Cretaceous",95.45,97,93.9,878.3610534,634.3649495,1203.227312,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Cenomanian, Cretaceous",96,97,93.5,1341.710352,915.7571652,2050.097623,Kuypers et al. 2002,DSDP144,9.4538,-54.342,,
"Cenomanian, Cretaceous",96,97,93.5,1429.428166,963.0088942,2238.112399,Kuypers et al. 2002,DSDP144,9.4538,-54.342,,
"Late Cenomanian, Cretaceous",96,97,93.9,925.5972113,663.413943,1281.001004,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",96,97,93.9,1133.300804,794.2958419,1645.069288,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",96,97,93.9,1027.78967,729.1964459,1458.750775,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",96,97,93.9,1224.782876,855.3758922,1808.83918,Sinninghe Damste et al. 2008b,DSDP367,12.4868,-20.0472,,https://doi.org/10.1016/j.orggeochem.2008.01.012
"Late Cenomanian, Cretaceous",96,97,93.9,1019.025968,730.5995252,1429.084939,Sinninghe Damste et al. 2008b,DSDP367,12.4868,-20.0472,,https://doi.org/10.1016/j.orggeochem.2008.01.012
"Cenomanian, Cretaceous",96,97,93.9,946.9343831,669.6267392,1348.94841,Forster et al. 2008,DSDP530,-19.1877,9.3858,,
"Cenomanian, Cretaceous",96,97,93.9,848.9418973,609.7192869,1179.635579,Forster et al. 2008,DSDP530,-19.1877,9.3858,,
"Late Cenomanian, Cretaceous",96.3,97,93.9,1174.446843,820.8737534,1714.042182,van Bentum et al. 2012a,ODP1276,45.40533,-44.78583,,
"Late Cenomanian, Cretaceous",96.7,97,93.9,1133.625996,798.0653864,1641.466679,van Bentum et al. 2012a,ODP1276,45.40533,-44.78583,,
"Cenomanian, Cretaceous",97,98,96,1186.062344,836.9328077,1710.345029,Bice et al. 2006,ODP1260,9.26551,-54.5442,,
"Cenomanian, Cretaceous",97,99.5,97.5,904.531305,657.9823158,1235.149249,Bice et al. 2006,ODP1260,9.26551,-54.5442,,
"Cenomanian, Cretaceous",97,97,93.5,1095.50513,776.519399,1569.771868,Kuypers et al. 2004,ODP603,35.4952,-70.0285,,
"Cenomanian, Cretaceous",97,97,93.5,1461.348895,980.0801459,2314.410655,Kuypers et al. 2002,DSDP144,9.4538,-54.342,,
"Late Cenomanian, Cretaceous",97,97,93.9,912.1551824,657.4291628,1259.607748,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",97,97,93.9,921.8174525,664.6709928,1280.550082,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",97,97,93.9,1112.58719,782.8142358,1606.028657,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",97,97,93.9,1194.022531,829.1372501,1757.985566,van Bentum et al. 2012b,ODP1260,9.26551,-54.5442,,
"Late Cenomanian, Cretaceous",97,97,93.9,1034.159309,734.8965419,1457.719152,Sinninghe Damste et al. 2008b,DSDP367,12.4868,-20.0472,,https://doi.org/10.1016/j.orggeochem.2008.01.012
"Cenomanian, Cretaceous",97,97,93.9,898.6125778,639.2340444,1269.030022,Forster et al. 2008,DSDP530,-19.1877,9.3858,,
"Cenomanian, Cretaceous",97,97,93.9,899.2963245,642.3749802,1266.736806,Forster et al. 2008,DSDP530,-19.1877,9.3858,,
"Cenomanian, Cretaceous",97,100,93.9,935.5343036,670.8795108,1297.019678,Witkowski2018,Middle East,,,,
"Albian, L Cretaceous",99,100,98,760.5179411,555.8156598,1025.000846,Bice et al. 2006,ODP1258,9.43333,-54.73303,,
"U Albian, Cretaceous",102,105,100.5,1133.497175,793.5639269,1651.24447,Alizadah et al. 2015,Abadan Plain,,,,
"U Albian, Cretaceous",102,105,100.5,936.4247527,670.2125245,1303.936634,Alizadah et al. 2015,Abadan Plain,,,,
"L Aptian/Early Albian , Cretaceous",111,113,110,1125.355577,790.2813744,1636.421395,Kuypers et al. 2002,ODP1049,30.14227,-76.11211,,
"L Aptian/Early Albian , Cretaceous",115,115,113.8,906.5519948,651.637537,1254.754751,Kuypers et al. 2002,ODP1049,30.14227,-76.11211,,
"Aptian, Cretaceous",115,115,113,996.1408138,680.6241542,1509.334703,Tsikos et al. 2004,Vigla Shale Greece,,,,
"Aptian, Cretaceous",116,115,113,1291.88179,837.6479107,2146.350739,Tsikos et al. 2004,Vigla Shale Greece,,,,
"Aptian, Cretaceous",116,116,114,1277.872265,832.7900622,2122.013949,Tsikos et al. 2004,Vigla Shale Greece,,,,
"Aptian, Cretaceous",116,117,115,1193.875305,786.103879,1924.072281,Tsikos et al. 2004,Vigla Shale Greece,,,,
"L Aptian/Early Albian , Cretaceous",117,117,116,838.2342745,607.3913117,1144.900908,Kuypers et al. 2002,ODP1049,30.14227,-76.11211,,
"Aptian, Cretaceous",117,118,116,1231.250466,808.4055519,2027.35392,Tsikos et al. 2004,Vigla Shale Greece,,,,
"Early Aptian, Cretaceous",117,118,116,1335.908881,865.3018438,2266.142437,Tsikos et al. 2004,Vigla Shale Greece,,,,
"L Aptian/Early Albian , Cretaceous",118,118,116,1231.389851,854.263946,1828.390016,Kuypers et al. 2002,ODP1049,30.14227,-76.11211,,
"Early Aptian, Cretaceous",120,121,119,1048.389722,709.0175867,1623.512439,Tsikos et al. 2004,Vigla Shale Greece,,,,
"L Aptian, Cretaceous",122,126,118,893.6319531,641.1527526,1243.128219,Alizadah et al. 2015,Abadan Plain,,,,
"L Aptian, Cretaceous",122,126,118,833.2398242,601.9953726,1149.737087,Alizadah et al. 2015,Abadan Plain,,,,
"Early Aptian, Cretaceous",122,123,121,978.08674,670.5871443,1465.054935,Tsikos et al. 2004,Vigla Shale Greece,,,,
"Early Aptian, Cretaceous",124,125,123,958.7021164,659.759247,1437.594982,Tsikos et al. 2004,Vigla Shale Greece,,,,
L Cretaceous,140,145,132.9,820.1761042,593.7368473,1127.244816,Alizadah et al. 2015,Abadan Plain,,,,
L Cretaceous,140,145,132.9,863.8833143,622.4690143,1195.072245,Alizadah et al. 2015,Abadan Plain,,,,
Late Jurassic/Early Cretaceous (Hekkingen Formation),144,150,138,641.0204275,447.8939146,928.3772901,Murillo et al. 2016,Albatross Barents Sea,,,,
"Tith/Berr, Jurassic/Cretaceous",145,152,139,1062.429052,731.3454355,1585.726978,Witkowski2018,Eurasia,,,,
Early Cret/Late Jurassic,145,152,139,774.4644153,558.6044385,1064.619342,Witkowski2018,Samerica,,,,
Early Cret/Late Jurassic,145,152,139,730.2607732,530.2352781,991.1875314,Witkowski2018,Samerica,,,,
"Tithonian, Jurassic",145,152.1,145,607.9708403,434.0570424,846.6241503,van Kaam-Peters et al. 1997a,KCF Dorset,,,,
"Tithonian, Jurassic",145,152.1,145,585.3633012,420.0453809,810.6561602,van Kaam-Peters et al. 1997a,KCF Dorset,,,,
"Tithonian, Jurassic",146,152.1,145,540.4880339,389.6670253,735.7329928,van Kaam-Peters et al. 1997a,KCF Dorset,,,,
"Tithonian, Jurassic",146,152.1,145,690.351721,489.1051281,982.9374502,van Kaam-Peters et al. 1998,KCF Dorset,,,,
Late Jurassic/Early Cretaceous (Hekkingen Formation),146,150,138,675.2293746,468.5064721,980.6126351,Murillo et al. 2016,Askeladd Barents Sea,,,,
"Tithonian, Jurassic",147,152.1,145,723.1736262,508.3872478,1039.715612,van Kaam-Peters et al. 1998,KCF Dorset,,,,
"Tithonian, Jurassic",148,152.1,145,785.8404819,547.7622819,1152.350145,van Kaam-Peters et al. 1998,KCF Dorset,,,,
"Tithonian, Jurassic",148,152.1,145,586.827165,422.9474708,810.076765,Koopmans et al. 1996,Calcaires en Plaquettes,,,,
Late Jurassic/Early Cretaceous (Hekkingen Formation),148,150,138,617.5619482,432.9351558,883.7353835,Murillo et al. 2016,Askeladd Barents Sea,,,,
"Tithonian, Jurassic",149,152.1,145,746.860902,522.9483253,1081.774658,van Kaam-Peters et al. 1998,KCF Dorset,,,,
"Tithonian, Jurassic",149,152.1,145,659.4030851,469.3126105,930.2295839,Koopmans et al. 1996,Kimmeridge,,,,
"Tithonian, Jurassic",150,152.1,145,726.2058382,511.0783443,1041.882298,van Kaam-Peters et al. 1998,KCF Dorset,,,,
"Tithonian, Jurassic",150,152.1,145,788.3113111,545.5189921,1157.04581,van Kaam-Peters et al. 1998,KCF Dorset,,,,
Late Jurassic/Early Cretaceous (Hekkingen Formation),150,150,138,600.9760353,423.5081642,858.7270425,Murillo et al. 2016,Askeladd Barents Sea,,,,
"Kimmeridge, Jurassic",154.7,157.3,152.1,676.2864664,483.1140321,939.5021676,Witkowski2018,Europe,,,,
"Kimmeridge, Jurassic",154.7,157.3,152.1,705.4966862,502.2276176,989.7704622,Witkowski2018,Europe,,,,
"Kimmeridge, Jurassic",154.7,157.3,152.1,742.7907882,528.2329392,1055.544122,Witkowski2018,Europe,,,,
"Kimmeridge, Jurassic",154.7,157.3,152.1,660.8100618,475.4433841,916.4137105,Witkowski2018,Europe,,,,
"Kimmeridge, Jurassic",154.7,157.3,152.1,784.7554035,553.6945837,1118.834389,Witkowski2018,Europe,,,,
"Kimmeridge, Jurassic",154.7,157.3,152.1,651.7840843,469.2718224,900.1908062,Witkowski2018,Europe,,,,
"Kimmeridge, Jurassic",154.7,157.3,152.1,686.3031285,492.3368948,958.0609742,Witkowski2018,Europe,,,,
"Kimmeridge, Jurassic",154.7,157.3,152.1,784.2461324,552.856662,1117.902814,Witkowski2018,Europe,,,,
"Kimmeridge, Jurassic",154.7,157.3,152.1,535.1239776,389.351258,721.0909271,Witkowski2018,Europe,,,,
Late Jurassic,155,164,145,1017.992013,679.4560862,1615.614532,Koopmans et al. 1996,Allgau Marlstone,,,,
"Kimmeridge, Jurassic",155,157.3,152.1,930.9275615,664.8038801,1309.538604,Witkowski2018,Middle East,,,,
"Call/Kim, Jurassic",159,166,152,812.9000034,588.7176172,1112.218262,Witkowski2018,Middle East,,,,
"Call/Kim, Jurassic",159,166,152,758.8510666,553.2782783,1026.827799,Witkowski2018,Middle East,,,,
"Toarcian, Jurassic",177,182.7,174.1,940.2188364,643.0766203,1428.318942,French et al. 2014,Hawkser,,,,
"Toarcian, Jurassic",177,182.7,174.1,989.7183593,672.2291833,1521.963526,French et al. 2014,Hawkser,,,,
"Toarcian, Jurassic",178,182.7,174.1,677.7420498,486.5896619,946.5390198,Witkowski2018,Europe,,,,
"Toarcian, Jurassic",178,182.7,174.1,1018.964192,691.5072355,1563.116772,Witkowski2018,Europe,,,,
"Toarcian, Jurassic",178,182.7,174.1,973.0286093,664.3673528,1484.864396,French et al. 2014,Hawkser,,,,
"Toarcian, Jurassic",178,182.7,174.1,1021.716558,689.9719712,1586.370814,French et al. 2014,Hawkser,,,,
"Toarcian, Jurassic",178,182.7,174.1,808.3473827,565.3539883,1168.636729,Schouten et al. 2000c,Schomberg,,,,
"Toarcian, Jurassic",178,182.7,174.1,666.9172403,478.3327638,928.4075007,Schouten et al. 2000c,Schomberg,,,,
"Toarcian, Jurassic",178,182.7,174.1,694.2248216,495.6947693,972.9168014,Schouten et al. 2000c,Schomberg,,,,
