Age,AgeLower,AgeUpper,CO2,CO2Low1s,CO2High1s,QualityFlag,Source,Site,Latitude,Longitude,doi,Notes
5.5,6.1,4.9,222,112,524,0,"Cotton & Sheldon, 2012  (updated by Breecker & Retallack, 2014)",BR2014,,,,
6.4,,,213.25182,117.605181,375.959089,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
6.65,,,283.170342,154.042192,531.171081,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
6.8,,,371.501302,227.050418,663.496513,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
7,9,5,148,74,296,1,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",Dhok Pathan,,,,
7.1,8.9,5.335,468,234,936,1,"Quade et al., 1994 (reported in Ekart et al., 1999)",Rhodes Formation,,,,
7.1425,,,225,110.010822,523.658417,0,Ji et al 2018,Ji2018,,,,
7.4276,,,92,44.1040229,219.152517,0,Ji et al 2018,Ji2018,,,,
7.66,7.79,7.53,292,146,584,1,"Quade et al., 1994 (reported in Ekart et al., 1999)",Mytilini Formation,,,,
7.8322,,,238,116.879409,567.310801,0,Ji et al 2018,Ji2018,,,,
8.365,11.4,5.335,133.333333,66.6666667,266.666667,1,"Cerling, 1992",C92,,,,
8.75,,,273.787745,173.198449,476.118656,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
9,11,7,204,102,408,1,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",Nagri,,,,
9.1,,,197.148785,89.5314867,484.540763,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
9.8542,,,192,95.4500653,452.85002,0,Ji et al 2018,Ji2018,,,,
10.55,11.2,9.9,448,224,896,1,"Quade et al., 1994 (reported in Ekart et al., 1999)",Nea Messimbria Formation,,,,
10.7272,,,208,98.7527001,504.456392,0,Ji et al 2018,Ji2018,,,,
11.0119,,,237,98.8556392,580.775598,0,Ji et al 2018,Ji2018,,,,
11.7968,,,144,59.018436,347.226864,0,Ji et al 2018,Ji2018,,,,
11.9244,,,138,68.9543929,334.258373,0,Ji et al 2018,Ji2018,,,,
12.7,,,267.147366,130.789433,624.407142,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
12.8,,,273.335226,192.534051,354.136402,0,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",R2009,,,,
12.9087,,,258,130.076984,625.879566,0,Ji et al 2018,Ji2018,,,,
13,15,11,176,88,352,1,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",Kamlia,,,,
13,15,11,296,148,592,1,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",Chinji,,,,
13.14,,,369.900906,186.732249,553.069563,0,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",R2009,,,,
13.2295,,,312,161.090253,726.297667,0,Ji et al 2018,Ji2018,,,,
13.5714,,,224,97.7422037,538.900629,0,Ji et al 2018,Ji2018,,,,
13.7,,,101.370954,31.4686864,272.475455,0,"Breecker & Retallack, 2014",BR2014,,,https://doi.org/10.1016/j.palaeo.2014.04.012,
13.7,16,11.4,133.333333,66.6666667,266.666667,1,"Cerling, 1992",C92,,,,
13.76,,,189.80031,142.656362,236.944258,0,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",R2009,,,,
13.9806,,,353,190.113657,851.14299,0,Ji et al 2018,Ji2018,,,,
14.24,,,371,191.051773,889.324686,0,Ji et al 2018,Ji2018,,,,
14.4,,,132.020419,86.4961366,177.544702,0,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",R2009,,,,
14.6362,,,374,198.390061,869.984111,0,Ji et al 2018,Ji2018,,,,
14.66,,,73.8293002,50.2802993,97.3783011,1,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",R2009,,,,
14.7575,,,255,96.1270425,638.402962,0,Ji et al 2018,Ji2018,,,,
14.8817,,,342,178.441034,809.481263,0,Ji et al 2018,Ji2018,,,,
15.034,,,264,127.798648,607.392252,0,Ji et al 2018,Ji2018,,,,
15.11,,,181.879483,130.62822,233.130747,0,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",R2009,,,,
15.1842,,,380,201.597346,894.867597,0,Ji et al 2018,Ji2018,,,,
15.61,,,472.998654,425.254659,520.74265,0,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",R2009,,,,
15.98,,,333.280728,281.475433,385.086022,0,"Retallack, 2009b (updated by Breecker & Retallack, 2014)",R2009,,,,
