Age,AgeLower,AgeUpper,CO2,CO2Low1s,CO2High1s,QualityFlag,Source,Site,Latitude,Longitude,doi,Notes
127.5,,,1704,852,3408,0,"Li et al., 2014",L2014,,,,
129.8,,,940,470,1880,0,"Li et al., 2014",L2014,,,,
130.2,,,1023.2,511.6,2046.4,0,"Li et al., 2014",L2014,,,,
130.8,,,842.4,421.2,1684.8,0,"Li et al., 2014",L2014,,,,
131.3,,,1909.6,954.8,3819.2,0,"Li et al., 2014",L2014,,,,
132,,,2561.6,1280.8,5123.2,0,"Li et al., 2014",L2014,,,,
132.25,143.1,121.4,923.5978,461.7989,1847.1956,0,"Mortazavi et al., 2013",M2013,,,,
135,149,121,1112.5,556.25,2225,0,"Ghosh et al., 2005 (and 1995, 2001)",Bagra,"Ages updated based on Roy et al., 2021",,,
135,149,121,1517,923,2111,0,"Roy et al., 2021",R2021,,,https://doi.org/10.1016/j.palaeo.2021.110638,
136.425,137.7,135.15,173.735712,75.6939825,271.777442,0,"Huang et al., 2012",H2012,,,,
140.4,143.1,137.7,560,280,1120,0,"Platt, 1989 (reported in Cerling, 1991)",P1989,,,,
141.75,143.1,140.4,232.359866,92.2704396,372.449293,0,"Huang et al., 2012",H2012,,,,
152.01,154.78,149.24,1272,636,2544,0,"Ekart et al., 1999",Morrison,,,https://doi.org/10.2475/ajs.299.10.805,
155.385,161.53,149.24,557.666667,278.833333,1115.33333,0,"Gutierrez & Sheldon, 2012",GS2012,,,,
172.8,174.7,170.9,768,384,1536,0,"Ekart et al., 1999",Kayenta,,,https://doi.org/10.2475/ajs.299.10.805,
188.03,201.36,174.7,1824,912,3648,0,"Ekart et al., 1999",Aztec,,,https://doi.org/10.2475/ajs.299.10.805,
197.13,201.36,192.9,1204,602,2408,0,"Suchecki et al., 1988 (reported in Ekart et al., 1999)",S1988,,,,
198.99,,,1178.66667,589.333333,2357.33333,0,"Schaller et al., 2012",S2012,,,,
199.79,,,523.333333,261.666667,1046.66667,0,"Schaller et al., 2012",S2012,,,,
200.15,,,610,305,1220,0,"Schaller et al., 2012",S2012,,,,
200.23,,,1018.66667,509.333333,2037.33333,0,"Schaller et al., 2012",S2012,,,,
200.31,,,1810.66667,905.333333,3621.33333,0,"Schaller et al., 2012",S2012,,,,
200.33,,,1766,883,3532,0,"Schaller et al., 2012",S2012,,,,
200.35,,,1411.33333,705.666667,2822.66667,0,"Schaller et al., 2012",S2012,,,,
200.362592,,,1664,832,3328,0,"Schaller et al., 2011",S2011,,,,
200.37,,,997.333333,498.666667,1994.66667,0,"Schaller et al., 2012",S2012,,,,
200.39,,,2002,1001,4004,0,"Schaller et al., 2012",S2012,,,,
200.41,201.36,199.46,992,496,1984,1,"Tanner et al., 2001",T2001,,,,
200.44,,,1921.33333,960.666667,3842.66667,0,"Schaller et al., 2012",S2012,,,,
200.46,,,3394.66667,1697.33333,6789.33333,0,"Schaller et al., 2012",S2012,,,,
200.477826,,,2087.33333,1043.66667,4174.66667,0,"Schaller et al., 2011",S2011,,,,
200.53,,,2750,1375,5500,0,"Schaller et al., 2012",S2012,,,,
