AgeDescription,Age,AgeLower,AgeUpper,CO2, CO2Low1s, CO2High1s,Source,Site,Latitude,Longitude,Notes,doi
just before the T-J extinction,201.55,201.8,201.36,1206,804,1608,"Steinthorsdottir et al., 2011",AstartekloftLarne,,,,https://doi.org/10.1016/j.palaeo.2011.05.050
just before the T-J extinction,201.55,201.8,201.36,1122.39225,748.2615,1496.523,"Steinthorsdottir et al., 2011",AstartekloftLarne,,,,https://doi.org/10.1016/j.palaeo.2011.05.050
biostratigraphy and lithostratigraphy; Spore Pollen zone II (age conversion is approximate),23.5,24,23,475.81,351.6,600.02,"Steinthorsdottir et al., 2016a",S16a,,,,https://doi.org/10.5194/cp-12-439-2016
biostratigraphy and lithostratigraphy; Spore Pollen zone 20G (age conversion is approximate),26.5,27,26,428.755,316.8,540.71,"Steinthorsdottir et al., 2016a",S16a,,,,https://doi.org/10.5194/cp-12-439-2016
biostratigraphy and lithostratigraphy; Spore Pollen zone 20 A/B (age conversion is approximate),33.45,33.9,33,409.395,302.5,516.29,"Steinthorsdottir et al., 2016a",S16a,,,,https://doi.org/10.5194/cp-12-439-2016
biostratigraphy and lithostratigraphy; Spore Pollen zone 19 (age conversion is approximate),34.45,35,33.9,410.17,303.1,517.24,"Steinthorsdottir et al., 2016a",S16a,,,,https://doi.org/10.5194/cp-12-439-2016
biostratigraphy and lithostratigraphy; Spore Pollen zone 18o (age conversion is approximate),36,36.5,35.5,364.805,269.56,460.05,"Steinthorsdottir et al., 2016a",S16a,,,,https://doi.org/10.5194/cp-12-439-2016
biostratigraphy,60,62,58,322.34,274.9,644.68,"Steinthorsdottir et al., 2016b",S16b,,,,
biostratigraphy,65.5,66,65,418.08,363.08,836.16,"Steinthorsdottir et al., 2016b",S16b,,,,
biostratigraphy,65.9,66,65.8,429.18,364.61,858.36,"Steinthorsdottir et al., 2016b",S16b,,,,
biostratigraphy,67,68,66,648.52,554.69,1297.04,"Steinthorsdottir et al., 2016b",S16b,,,,
Pliocene,3.09,3.6,2.58,357,333,376,"Stults et al., 2011",Stults11,,,,
Late Miocene,8.48,11.625,5.335,360,252,594,"Stults et al., 2011",Stults11,,,,
early Lower Cretaceous,137.85,143.1,132.6,1442.011821,961.3412137,1922.682427,"Sun et al., 2007",Sun07,,,,https://doi.org/10.1111/j.1755-6724.2007.tb01016.x
early Lower Cretaceous,137.85,143.1,132.6,1228.140404,818.7602697,1637.520539,"Sun et al., 2007",Sun07,,,,https://doi.org/10.1111/j.1755-6724.2007.tb01016.x
early Lower Cretaceous,137.85,143.1,132.6,1150.573642,767.0490947,1534.098189,"Sun et al., 2007",Sun07,,,,https://doi.org/10.1111/j.1755-6724.2007.tb01016.x
Bajocian,169.535,170.9,168.17,1031.174491,687.4496604,1374.899321,"Sun et al., 2007",Sun07,,,,https://doi.org/10.1111/j.1755-6724.2007.tb01016.x
Bajocian,169.535,170.9,168.17,926.3092881,617.5395254,1235.079051,"Sun et al., 2007",Sun07,,,,https://doi.org/10.1111/j.1755-6724.2007.tb01016.x
Aalenian,172.8,174.7,170.9,895.9384918,597.2923279,1194.584656,"Sun et al., 2007",Sun07,,,,https://doi.org/10.1111/j.1755-6724.2007.tb01016.x
Pleinsbachian,188.55,192.9,184.2,942.2801379,628.1867586,1256.373517,"Sun et al., 2007",Sun07,,,,https://doi.org/10.1111/j.1755-6724.2007.tb01016.x
biostratigraphy: Oligocene,28.465,33.9,23.03,390,264.6666667,715.3333333,"Sun et al., 2017",Sun17,,,,
Tiglian,2.1,2.4,1.8,357.5,250.25,589.875,"van der Burgh et al., 1993 (updated by Kürschner et al., 1996)",vdb93,,,,
Early Brunssummian,5.1,,,357.5,250.25,589.875,"van der Burgh et al., 1993 (updated by Kürschner et al., 1996)",vdb93,,,,
Susterian,7.2,,,270,189,445.5,"van der Burgh et al., 1993 (updated by Kürschner et al., 1996)",vdb93,,,,
Linne C,8.5,,,350,245,577.5,"van der Burgh et al., 1993 (updated by Kürschner et al., 1996)",vdb93,,,,
Linne B,10.5,,,370,259,610.5,"van der Burgh et al., 1993 (updated by Kürschner et al., 1996)",vdb93,,,,
Santonian,84.675,85.7,83.65,660.172314,542.2539229,1895.576527,"Wan et al., 2011",Wan11,,,,
Santonian,84.675,85.7,83.65,531.2031175,473.4825631,732.7895164,"Wan et al., 2011",Wan11,,,,
Santonian,84.675,85.7,83.65,565.2162147,512.4472883,795.0781681,"Wan et al., 2011",Wan11,,,,
magnetostratigraphy and calcareous nanoplankton stratigraphy,0.95,,,278,194.6,458.7,"Wang et al, 2015",Wang15,,,,
magnetostratigraphy and calcareous nanoplankton stratigraphy,1.85,,,280,196,462,"Wang et al, 2015",Wang15,,,,
magnetostratigraphy and calcareous nanoplankton stratigraphy,2.6,,,285,199.5,470.25,"Wang et al, 2015",Wang15,,,,
magnetostratigraphy and calcareous nanoplankton stratigraphy,2.65,2.7,2.6,279,195.3,460.35,"Wang et al, 2015",Wang15,,,,
magnetostratigraphy and calcareous nanoplankton stratigraphy,2.9,3,2.8,280,196,462,"Wang et al, 2015",Wang15,,,,
radiometric dating,9.5,10,9,351,245.7,579.15,"Wang et al, 2015",Wang15,,,,
Middle Miocene,13.8,16,11.6,334,233.8,551.1,"Wang et al, 2015",Wang15,,,,
biostratigraphy; Aalenian to Bajocian,171.2,174.7,168.3,990,660,1320,"Wu et al., 2016",Wu16,,,,
biostratigraphy; Aalenian to Bajocian,171.2,174.7,168.3,954,636,1272,"Wu et al., 2016",Wu16,,,,
biostratigraphy; Rhaetian,203.55,205.74,201.36,1471.5,981,1962,"Wu et al., 2016",Wu16,,,,
Middle Jurassic,168.8,174.7,163.5,1422,948,1896,"Yan et al., 2009",Yan09,,,,
Middle Jurassic,168.8,174.7,163.5,1372.5,915,1830,"Yan et al., 2009",Yan09,,,,
Middle Jurassic,168.8,174.7,163.5,1296,864,1728,"Yan et al., 2009",Yan09,,,,
Middle Jurassic,168.8,174.7,163.5,1188,792,1584,"Yan et al., 2009",Yan09,,,,
Middle Jurassic,168.8,174.7,163.5,1134,756,1512,"Yan et al., 2009",Yan09,,,,
