Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-1.61351637172396,0.460180756837872,3.33528664684854,7.38125182328007,9.36181292336718
87.5,-1.61351795513562,0.460187253662681,3.33529395757261,7.38125919199168,9.36182437668119
85,-1.37084787552697,0.384005856845992,3.52679619257131,7.33693718646442,9.22533487922514
82.5,-1.25837760317771,0.668344786234409,3.64751711191994,7.2233576381318,8.95408583515302
80,-1.23461732028501,0.664373944808558,3.5377900950935,6.89871085260484,8.49951124743184
77.5,-0.854586593919154,1.02695851903569,3.87301567268898,7.16241684089643,8.65814553313097
75,0.885196491539019,2.75712710143105,5.39419623141496,8.48105523041142,10.0039826842478
72.5,2.51809923005395,4.32570201088837,6.72018943368232,9.7229803253693,11.1762902952567
70,3.60507957623555,5.19324081043692,7.45581518135017,10.7104659103825,12.2368306479971
67.5,4.63839425807596,6.08938635161754,8.56763061187168,12.0885142611841,13.4595866194862
65,6.26466764275649,7.47401810194353,9.86521961992094,13.2717375689864,14.6758562837699
62.5,7.87809811969294,9.18390231964921,11.4010767420591,14.5375057593209,15.9036902920853
60,10.4415934567309,11.5139753703523,13.5747517495719,16.3685928674632,17.4610308012765
57.5,11.8470381155142,12.9926015780087,14.9107917313412,17.7182020558052,18.9287086215999
55,13.2248967297925,14.3023120281119,16.2223702439448,18.9852988410175,20.2000426976847
52.5,14.2773374501072,15.3738798426706,17.2767588231654,20.0758938551435,21.3019743275508
50,15.2532742099314,16.2527412475253,18.2426917592836,20.912447614454,22.052287181243
47.5,16.0572283802273,17.1439977207261,19.4654982986901,22.0630823394878,23.1166069983566
45,16.6296804924432,17.981874950731,20.6153970100761,23.1560074501122,24.1492039085481
42.5,17.4002145890562,18.8393712081593,21.4076221750451,23.7757456514839,24.783744102329
40,18.8305119512789,20.2368370531763,22.9067934276849,25.1613935099191,26.2801079280961
37.5,19.3770816389942,20.6003855388987,23.4870657103051,25.872098105914,26.9567089689449
35,18.8005662539919,20.3539770632479,24.0504898153918,26.9889799738849,28.0475088887469
32.5,20.2937121185795,21.7150874852275,25.187258632605,27.8909723754259,28.9930897806033
30,21.4750618474216,22.7455837992661,26.1452892286274,28.7712855400253,29.8102950438718
27.5,23.1811663617054,24.3127274208706,27.2617151173333,29.5288538820569,30.4804272311755
25,24.8458998977219,25.9815912253436,28.4427682009603,30.3450784164836,31.1998977849082
22.5,27.3571604734767,28.3647974291414,30.2834531333429,31.8696061797323,32.7007154061161
